Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;Effective group motion 2;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
16,00018;2182,375;0,4868701;4,629689;0,9947131;0,3637703;0,4800312;20;39;0,975;2;0,03842897;0,9607244;0,9777327;72,46018;0,7185576;1;2,8;1;2,9;0,1;0,04
16,50019;2186,512;0,4872281;4,646785;0,9959764;0,4487762;0,5245506;20;39;0,975;2;0,03938252;0,9845629;0,9886771;85,80158;0,7173918;1;2,8;1;2,9;0,1;0,04
17,0002;2190,57;0,4875783;4,663803;0,9986342;0,5530543;0,6440551;20;39;0,975;2;0,03940987;0,9852468;0,9848868;95,4136;0,7420374;1;2,8;1;2,9;0,1;0,04
17,50021;2193,985;0,4878727;4,677584;0,995221;0,316617;0,4365838;20;39;0,975;2;0,03825524;0,956381;0,9687491;70,85764;0,739132;1;2,8;1;2,9;0,1;0,04
18,00022;2198,499;0,488261;4,695965;0,9936906;0,1763494;0,2103388;20;39;0,975;2;0,03816601;0,9541503;0,9595005;48,17223;0,7727392;1;2,8;1;2,9;0,1;0,04
18,50023;2201,7;0,4885358;4,708757;0,9955888;0,2518716;0,3249031;20;39;0,975;2;0,03849958;0,9624894;0,9707177;102,9763;0,7765817;1;2,8;1;2,9;0,1;0,04
19,00024;2204,911;0,4888108;4,72183;0,9978277;0,3825261;0,6137567;20;39;0,975;2;0,03882882;0,9707206;0,9699879;65,37858;0,8093314;1;2,8;1;2,9;0,1;0,04
19,50026;2207,913;0,4890677;4,734265;0,9983691;0,4501223;0,7465462;20;39;0,975;2;0,03869107;0,9672767;0,974566;68,01726;0,7900006;1;2,8;1;2,9;0,1;0,04
20,00027;2210,222;0,4892648;4,742452;0,9976802;0,464174;0,777423;20;39;0,975;2;0,0392945;0,9823625;0,9858924;58,08134;0,7744304;1;2,8;1;2,9;0,1;0,04
20,50028;2211,542;0,4893775;4,747587;0,9978232;0,483932;0,5992228;20;39;0,975;2;0,03858639;0,9646598;0,9637807;89,26667;0,8262783;1;2,8;1;2,9;0,1;0,04
21,00029;2213,004;0,4895026;4,752965;0,9969797;0,4677317;0,6011983;20;39;0,975;2;0,03904605;0,9761512;0,9799483;62,63853;0,7923794;1;2,8;1;2,9;0,1;0,04
21,5003;2214,516;0,4896313;4,758473;0,9978492;0,3930781;0,5340971;20;39;0,975;2;0,0394696;0,9867399;0,9868256;62,20047;0,8081133;1,2;2,8;1;2,9;0,1;0,04
22,00031;2210,94;0,4893264;4,742745;0,993062;0,4050684;0,742626;20;39;0,975;2;0,03860394;0,9650984;0,974283;97,4816;0,6483341;2;2,8;1;2,9;0,1;0,04
22,50032;2201,42;0,4885114;4,703057;0,9814876;0,08323134;0,09663518;20;39;0,975;2;0,039255;0,9813752;0,9842412;24,80156;0,57784;2;2,8;1;2,9;0,1;0,04
23,00034;2191,472;0,4876562;4,662191;0,969549;0,08215261;0,1241433;20;39;0,975;2;0,03897514;0,9743786;0,9883527;29,22668;0,592438;2;2,8;1;2,9;0,1;0,04
23,50035;2181,874;0,486827;4,622933;0,9585917;0,005501457;0,006547288;20;39;0,975;2;0,03937797;0,9844493;0,9879241;-176,9358;0,6052421;2;2,8;1;2,9;0,1;0,04
24,00036;2172,509;0,4860134;4,584845;0,9481409;0,08428625;0,09826302;20;39;0,975;2;0,03903648;0,9759119;0,9859389;74,74683;0,621057;2;2,8;1;2,9;0,1;0,04
24,50037;2163,578;0,4852345;4,548463;0,9368114;0,1237097;0,1486476;20;39;0,975;2;0,03906636;0,9766589;0,9903511;74,87559;0,6293732;2;2,8;1;2,9;0,1;0,04
25,00038;2154,267;0,4844182;4,511018;0,9252645;0,0640377;0,07546298;20;39;0,975;2;0,03905572;0,9763929;0,9947293;84,09273;0,6449347;2;2,8;1;2,9;0,1;0,04
25,50039;2145,699;0,4836641;4,477067;0,9156455;0,02914962;0,03777902;20;39;0,975;2;0,0394055;0,9851376;0,9847813;13,43463;0,6471821;2;2,8;1;2,9;0,1;0,04
26,0004;2136,836;0,4828801;4,442101;0,906497;0,08213191;0,09613894;20;39;0,975;2;0,03964315;0,9910787;0,9963792;-52,37455;0,6454109;2;2,8;1;2,9;0,1;0,04
26,50042;2127,819;0,4820789;4,406545;0,8985891;0,04207069;0,05686274;20;39;0,975;2;0,03921319;0,9803297;0,9865867;143,9635;0,6597798;2;2,8;1;2,9;0,1;0,04
27,00043;2119,65;0,4813499;4,374787;0,8941512;0,09174136;0,1126017;20;39;0,975;2;0,03975828;0,9939571;0,9938195;-110,0804;0,6419336;2;2,8;1;2,9;0,1;0,04
27,50044;2110,445;0,4805247;4,338748;0,8879582;0,04355814;0,05449163;20;39;0,975;2;0,03960356;0,9900889;0,9920135;8,46134;0,6622979;2;2,8;1;2,9;0,1;0,04
28,00045;2100,916;0,4796661;4,30185;0,8800082;0,04212024;0,05183833;20;39;0,975;2;0,03972984;0,993246;0,9931188;-11,85642;0,6510106;2;2,8;1;2,9;0,1;0,04
28,50046;2092,043;0,478863;4,267559;0,8715259;0,0760197;0,139651;20;39;0,975;2;0,03934164;0,9835409;0,9860693;146,5246;0,6837694;2;2,8;1;2,9;0,1;0,04
29,00047;2083,558;0,4780914;4,235249;0,8648806;0,02378418;0,04088897;20;39;0,975;2;0,03992822;0,9982055;0,9981775;-115,1917;0,6675609;2;2,8;1;2,9;0,1;0,04
29,50048;2075,1;0,4773192;4,203317;0,8590111;0,01222119;0,01530043;20;39;0,975;2;0,03927895;0,9819737;0,9879352;99,89795;0,6696807;2;2,8;1;2,9;0,1;0,04
30,0005;2066,049;0,4764885;4,169007;0,8553706;0,08802337;0,2178218;20;39;0,975;2;0,03888597;0,9721494;0,9861774;14,28147;0,7195954;2;2,8;1;2,9;0,1;0,04
30,50051;2056,705;0,4756272;4,133405;0,8499554;0,03733253;0,04770724;20;39;0,975;2;0,03938146;0,9845365;0,9879421;18,04673;0,7123647;2;2,8;1;2,9;0,1;0,04
31,00052;2048,262;0,4748449;4,101723;0,8451735;0,09401713;0,1137611;20;39;0,975;2;0,03898877;0,9747193;0,9958372;-130,0419;0,7258924;2;2,8;1;2,9;0,1;0,04
31,50053;2039,592;0,474038;4,069503;0,8388708;0,08973604;0,1051522;20;39;0,975;2;0,03972371;0,9930927;0,9934155;-150,9458;0,7402461;2;2,8;1;2,9;0,1;0,04
32,00054;2031,542;0,4732856;4,039525;0,8347643;0,2002164;0,2943977;20;39;0,975;2;0,03933474;0,9833685;0,990875;-134,2407;0,7113904;2;2,8;1;2,9;0,1;0,04
32,50055;2023,255;0,4725077;4,009068;0,8307084;0,08585472;0,1076293;20;39;0,975;2;0,03926143;0,9815359;0,9989617;-56,64601;0,702555;2;2,8;1;2,9;0,1;0,04
33,00056;2014,592;0,4716911;3,977315;0,8242814;0,1516279;0,1774835;20;39;0,975;2;0,03954511;0,9886278;0,9967242;-98,22417;0,7260898;2;2,8;1;2,9;0,1;0,04
33,50058;2005,598;0,4708387;3,94464;0,8165638;0,1589392;0,4329733;20;39;0,975;2;0,03958552;0,989638;0,989402;-64,71276;0,6815764;2;2,8;1;2,9;0,1;0,04
34,00059;1996,356;0,4699587;3,910884;0,8090518;0,09848582;0,1142803;20;39;0,975;2;0,03956502;0,9891256;0,9888717;-8,175991;0,7603596;2;2,8;1;2,9;0,1;0,04
34,5006;1988,572;0,4692141;3,882999;0,8042446;0,1864718;0,2297998;20;39;0,975;2;0,03966119;0,9915298;0,9949436;-112,7249;0,7430233;2;2,8;1;2,9;0,1;0,04
35,00061;1979,328;0,4683256;3,848711;0,7967526;0,1251906;0,1697122;20;39;0,975;2;0,03926497;0,9816242;0,9830473;-50,07479;0,7807596;2;2,8;1;2,9;0,1;0,04
35,50062;1970,136;0,4674378;3,814915;0,7900749;0,07821081;0,09847697;20;39;0,975;2;0,03911213;0,9778032;0,9963942;144,5076;0,7467126;2;2,8;1;2,9;0,1;0,04
36,00063;1961,926;0,4666412;3,785847;0,785242;0,06444807;0,08565553;20;39;0,975;2;0,03931682;0,9829206;0,9914734;-75,63042;0,7033155;2;2,8;1;2,9;0,1;0,04
36,50064;1952,781;0,4657495;3,753228;0,7808249;0,08294641;0,09317894;20;39;0,975;2;0,03921814;0,9804534;0,9897364;149,3674;0,7116417;2;2,8;1;2,9;0,1;0,04
37,00066;1943,921;0,4648813;3,722004;0,7785492;0,03611523;0,03837483;20;39;0,975;2;0,03977777;0,9944444;0,9943814;-96,12817;0,6818153;2;2,8;1;2,9;0,1;0,04
37,50067;1935,55;0,4640571;3,692971;0,7764717;0,0521611;0,05757118;20;39;0,975;2;0,03951745;0,9879364;0,994653;16,58469;0,6926733;2;2,8;1;2,9;0,1;0,04
38,00068;1926,984;0,4632098;3,662998;0,7718183;0,05244672;0,06226768;20;39;0,975;2;0,03916687;0,9791717;0,9910479;-96,02498;0,7153673;2;2,8;1;2,9;0,1;0,04
38,50069;1918,818;0,4623984;3,634857;0,7681132;0,1229257;0,1465963;20;39;0,975;2;0,03889168;0,9722921;0,9800424;-111,906;0,7615263;2;2,8;1;2,9;0,1;0,04
39,0007;1911,679;0,4616862;3,610689;0,7621146;0,2280289;0,2827801;20;39;0,975;2;0,03965521;0,9913802;0,9936507;-140,2017;0,7350428;2;2,8;1;2,9;0,1;0,04
39,50071;1904,7;0,4609868;3,587125;0,757996;0,2140245;0,2689081;20;39;0,975;2;0,03924484;0,9811211;0,9938596;-98,22028;0,7638782;2;2,8;1;2,9;0,1;0,04
40,00072;1896,939;0,4602059;3,560448;0,7541724;0,1171005;0,1421524;20;39;0,975;2;0,03975917;0,9939792;0,996459;-152,3123;0,700541;2;2,8;1;2,9;0,1;0,04
40,50074;1888,156;0,4593183;3,53071;0,7540631;0,05923079;0,07052884;20;39;0,975;2;0,03928155;0,9820387;0,9935024;137,4134;0,6722949;2;2,8;1;2,9;0,1;0,04
41,00075;1880,312;0,4585217;3,504456;0,7544368;0,1371284;0,1487313;20;39;0,975;2;0,03921879;0,9804697;0,982739;-121,0572;0,7742366;2;2,8;1;2,9;0,1;0,04
41,50076;1872,765;0,4577519;3,479534;0,7548023;0,1143852;0,1660968;20;39;0,975;2;0,03924252;0,9810631;0,9885412;-80,91737;0,7266628;2;2,8;1;2,9;0,1;0,04
42,00077;1864,552;0,4569108;3,452096;0,7517319;0,05679968;0,06787356;20;39;0,975;2;0,03936614;0,9841536;0,9895887;-97,54137;0,7119192;2;2,8;1;2,9;0,1;0,04
42,50078;1855,859;0,4560156;3,422693;0,7463613;0,1055518;0,1214587;20;39;0,975;2;0,0396533;0,9913325;0,991179;-74,56579;0,6943623;2;2,8;1;2,9;0,1;0,04
43,00079;1847,884;0,4551911;3,395892;0,7417552;0,1059926;0,1425764;20;39;0,975;2;0,03889145;0,9722862;0,9859813;-67,48275;0,7143327;2;2,8;1;2,9;0,1;0,04
43,5008;1839,952;0,454367;3,370113;0,7379856;0,08263516;0,09710275;20;39;0,975;2;0,03906612;0,976653;0,9906396;-172,0655;0,6778888;2;2,8;1;2,9;0,1;0,04
44,00082;1832,72;0,4536123;3,346911;0,7357016;0,09721289;0,1396705;20;39;0,975;2;0,03906929;0,9767322;0,9949558;137,8676;0,7319837;1,6;2,8;1;2,9;0,1;0,04
44,50083;1830,774;0,4534089;3,340384;0,7391953;0,03763317;0,04967691;20;39;0,975;2;0,03940134;0,9850336;0,9848585;18,94491;0,6272872;1;2,8;1;2,9;0,1;0,04
45,00084;1835,833;0,4539379;3,356723;0,7491294;0,04800478;0,05320038;20;39;0,975;2;0,03978757;0,9946893;0,9945822;164,6592;0,5690241;1;2,8;1;2,9;0,1;0,04
45,50085;1841,996;0,4545797;3,376539;0,7589396;0,03500213;0,03784797;20;39;0,975;2;0,03894003;0,9735007;0,9757287;-12,27954;0,557969;1;2,8;1;2,9;0,1;0,04
46,00086;1848,187;0,4552224;3,396535;0,7667488;0,06693217;0,07469391;20;39;0,975;2;0,03836651;0,9591627;0,9651906;-12,94867;0,5757188;1;2,8;1;2,9;0,1;0,04
46,50087;1854,61;0,4558869;3,416756;0,7749932;0,07133267;0,07658572;20;39;0,975;2;0,03933213;0,9833034;0,9845654;71,48382;0,5752763;1;2,8;1;2,9;0,1;0,04
47,00089;1862,124;0,4566614;3,441585;0,783225;0,132384;0,2363948;20;39;0,975;2;0,03906083;0,9765209;0,9759381;-29,74967;0,6124314;1;2,8;1;2,9;0,1;0,04
47,5009;1869,481;0,4574162;3,466034;0,7901022;0,1635556;0,2180743;20;39;0,975;2;0,03856838;0,9642096;0,9816371;-58,62656;0,6082501;1;2,8;1;2,9;0,1;0,04
48,00091;1876,245;0,4581073;3,488623;0,7972685;0,06481833;0,07462399;20;39;0,975;2;0,03822085;0,9555212;0,9742219;137,541;0,6090739;1;2,8;1;2,9;0,1;0,04
48,50092;1881,005;0,4585924;3,502816;0,8034676;0,1245939;0,1926281;20;39;0,975;2;0,03892694;0,9731736;0,9742503;111,881;0,6292548;1;2,8;1;2,9;0,1;0,04
49,00093;1887,218;0,4592232;3,522769;0,8108988;0,08899649;0,132704;20;39;0,975;2;0,03905987;0,9764968;0,9849718;125,3146;0,5875753;1;2,8;1;2,9;0,1;0,04
49,50094;1894,161;0,4599257;3,545991;0,8174167;0,2381104;0,264923;20;39;0,975;2;0,03917689;0,9794222;0,9817355;120,0245;0,614318;1;2,8;1;2,9;0,1;0,04
50,00095;1902,151;0,4607305;3,573589;0,8256509;0,1880953;0,229932;20;39;0,975;2;0,03945314;0,9863285;0,9869708;98,67308;0,6215178;1;2,8;1;2,9;0,1;0,04
50,50097;1910,036;0,4615217;3,600306;0,8324013;0,04637865;0,05013084;20;39;0,975;2;0,03906308;0,976577;0,9810586;54,17926;0,6238853;1;2,8;1;2,9;0,1;0,04
51,00098;1917,684;0,4622855;3,626056;0,8360017;0,05688838;0,06965205;20;39;0,975;2;0,03876195;0,9690489;0,9682711;24,95178;0,6226205;1;2,8;1;2,9;0,1;0,04
51,50099;1924,461;0,4629595;3,648823;0,8378891;0,08987994;0,1194185;20;39;0,975;2;0,03863316;0,965829;0,9656214;11,22069;0,6569499;1;2,8;1;2,9;0,1;0,04
