Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageNeighborhood;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Move forward intensity;Friction intensity;Max speed intensity
0,5000001;2133,524;0,4825863;4,415436;0,9433695;1434,627;20;37;0,925;2;3,65;0,07105039;0,7105039;0,6946146;80,73877;0,5232631;1;1;1;0;0;0,1;0,1
0,9999996;2143,281;0,4834505;4,449556;0,9536543;0,06591068;20;37;0,925;2;3,55;0,09423;0,9423;0,9376217;12,45147;0,5654463;1;1;1;0;0;0,1;0,1
1,499999;2152,828;0,4842918;4,48445;0,9632537;0,04574826;40;40;1;1;3,65;0,09478347;0,9478347;0,9478347;-16,40304;0,588948;1;1;1;0;0;0,1;0,1
1,999999;2162,442;0,4851349;4,520394;0,9639035;0,03964685;20;39;0,975;2;3,4;0,09541611;0,954161;0,9532064;31,40277;0,6320809;1;1;1;0;0;0,1;0,1
2,499998;2175,278;0,4862542;4,57058;0,9710624;0,06250887;40;40;1;1;3,3;0,09486717;0,9486717;0,9486718;7,758;0,6552795;1;1;1;0;0;0,1;0,1
2,999998;2187,982;0,4873551;4,621389;0,9812889;0,04033574;40;40;1;1;3,325;0,0954262;0,954262;0,9542621;-67,91296;0,6899117;1,86;1;1;0;0;0,1;0,1
3,499997;2182,573;0,4868872;4,597085;0,9549331;0,07980353;40;40;1;1;3,375;0,09764066;0,9764066;0,9764066;73,33601;0,7318307;2,05;1;1;0;0;0,1;0,1
3,999997;2167,164;0,4855477;4,533447;0,9342133;0,06270564;40;40;1;1;3,45;0,09988876;0,9988875;0,9988875;99,17157;0,675087;2,05;1;1;0;0;0,1;0,1
4,499997;2148,122;0,4838777;4,456826;0,9116313;0,1108913;40;40;1;1;3,45;0,09999996;0,9999996;0,9999996;100,857;0,6882924;2,05;1;1;0;0;0,1;0,1
4,999996;2128,756;0,4821624;4,380058;0,8912516;0,1159598;40;40;1;1;3,55;0,09999996;0,9999996;0,9999996;100,0819;0,7101223;2,05;1;1;0;0;0,1;0,1
5,499996;2107,539;0,4802634;4,296916;0,8723431;0,1078654;40;40;1;1;3,65;0,09999996;0,9999996;0,9999996;101,3259;0,72273;2,05;1;1;0;0;0,1;0,1
5,999995;2085,781;0,4782943;4,212704;0,8554411;0,09626562;40;40;1;1;3,85;0,09999996;0,9999996;0,9999996;98,7843;0,7371586;2,05;1;1;0;0;0,1;0,1
6,499995;2065,601;0,4764475;4,135706;0,8406271;0,08973759;40;40;1;1;3,95;0,09999996;0,9999996;0,9999996;104,2828;0,7411203;2,05;1,43;1;0;0;0,1;0,1
6,999994;2042,699;0,4743276;4,049501;0,8247488;0,1129081;40;40;1;1;4,2;0,09999996;0,9999996;0,9999996;105,0509;0,7288479;2,05;1,96;1;0;0;0,1;0,1
7,499994;2019,471;0,4721515;3,963256;0,809687;0,1469276;40;40;1;1;4,3;0,09999996;0,9999996;0,9999996;100,7732;0,7300392;2,05;3,01;1;0;0;0,1;0,1
7,999993;1989,831;0,4693346;3,854337;0,7897915;0,1681093;40;40;1;1;4,55;0,09999996;0,9999996;0,9999996;85,03411;0,5783674;2,05;4,63;1;0;0;0,1;0,1
8,500005;1957,039;0,4661653;3,735125;0,768854;0,1539948;40;40;1;1;4,55;0,09999996;0,9999996;0,9999996;59,55241;0,5031307;2,05;4,68;1;0;0;0,1;0,1
9,000016;1916,078;0,4621252;3,588057;0,7468854;0,1376669;40;40;1;1;4,9;0,09999996;0,9999996;0,9999996;38,30044;0,4682043;2,05;4,68;1;0;0;0,1;0,1
9,500028;1876,123;0,458095;3,447113;0,7249309;0,1138865;40;40;1;1;5,25;0,09999996;0,9999996;0,9999996;23,24377;0,4497064;2,05;4,68;1;0;0;0,1;0,1
10,00004;1836,867;0,4540457;3,31128;0,7033926;0,1155363;40;40;1;1;5,65;0,09999996;0,9999996;0,9999996;17,95832;0,4455468;2,05;4,68;1;0;0;0,1;0,1
10,50005;1794,623;0,4495848;3,168277;0,6800788;0,134358;40;40;1;1;6,05;0,09999996;0,9999996;0,9999996;19,78054;0,4504177;2,05;4,68;1;0;0;0,1;0,1
