Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
17,50021;2030,712;0,4732081;4,002398;0,9973024;0,1719146;40;40;1;1;0,03938121;0,9845303;0,9845303;121,8343;0,8517658;1;2,1;1;0;0,1;0,04
18,00022;2038,408;0,4739276;4,031058;0,9984627;0,1825069;40;40;1;1;0,03885258;0,9713146;0,9713147;122,7965;0,7248608;0,9;2,1;1;0;0,1;0,04
18,50023;2043,338;0,4743872;4,048757;0,9949728;0,2122614;40;40;1;1;0,03999999;0,9999997;0,9999997;120,2835;0,9146672;1,2;2,1;1;0;0,1;0,04
19,00024;2043,646;0,4744159;4,048815;0,992549;0,1986211;40;40;1;1;0,03999999;0,9999997;0,9999997;111,9757;0,9245721;1,2;2,1;1;0;0,1;0,04
19,50026;2042,205;0,4742817;4,042438;0,9931483;0,1275808;40;40;1;1;0,03998407;0,9996017;0,9996018;108,4455;0,9156989;1,2;2,1;1;0;0,1;0,04
20,00027;2037,771;0,4738683;4,024342;0,9901775;0,01186913;40;40;1;1;0,03999999;0,9999998;0,9999997;-22,22155;0,7734749;1,7;2,1;1;0;0,1;0,04
20,50028;2027,841;0,4729386;3,985121;0,9776521;0,02673665;40;40;1;1;0,03999999;0,9999997;0,9999998;0,07961242;0,702897;1,7;2,1;1;0;0,1;0,04
21,00029;2017,119;0,4719295;3,943245;0,9648576;0,04092065;40;40;1;1;0,03999999;0,9999997;0,9999997;-4,112606;0,7123939;1,7;2,1;1;0;0,1;0,04
21,5003;2006,217;0,4708975;3,900965;0,9522974;0,04814618;40;40;1;1;0,03999999;0,9999998;0,9999997;-10,96148;0,724986;1,7;2,1;1;0;0,1;0,04
22,00031;1995,154;0,4698441;3,858335;0,9399073;0,05332202;40;40;1;1;0,03999999;0,9999998;0,9999998;-17,35925;0,7368082;1,7;2,1;1;0;0,1;0,04
22,50032;1984,034;0,4687787;3,815758;0,9277678;0,05766653;40;40;1;1;0,03999999;0,9999997;0,9999998;-22,69705;0,7474978;1,7;2,1;1;0;0,1;0,04
23,00034;1972,821;0,4676977;3,77308;0,9158359;0,05974115;40;40;1;1;0,03999999;0,9999997;0,9999998;-16,4418;0,7519299;1,7;2,1;1;0;0,1;0,04
23,50035;1961,494;0,4665992;3,73023;0,9041042;0,05296638;40;40;1;1;0,03999999;0,9999997;0,9999997;-37,24897;0,7577823;1,7;2,1;1;0;0,1;0,04
24,00036;1950,693;0,4655452;3,689821;0,892592;0,05612267;40;40;1;1;0,03999999;0,9999997;0,9999998;-17,06134;0,7607138;1,7;2,1;1;0;0,1;0,04
24,50037;1940,041;0,4645001;3,650281;0,8813069;0,07654373;40;40;1;1;0,03999999;0,9999997;0,9999998;-22,83885;0,7635306;1,7;2,1;1;0;0,1;0,04
25,00038;1929,278;0,4634371;3,610602;0,870164;0,07466497;40;40;1;1;0,03999999;0,9999998;0,9999998;-26,37504;0,7707027;1,7;2,1;1;0;0,1;0,04
25,50039;1918,652;0,4623819;3,571653;0,8593333;0,07532652;40;40;1;1;0,03999999;0,9999997;0,9999997;-28,27037;0,7792963;1,7;2,1;1;0;0,1;0,04
26,0004;1907,817;0,4612996;3,532153;0,8484528;0,07495572;40;40;1;1;0,03999999;0,9999997;0,9999997;-28,63214;0,78694;1,7;2,1;1;0;0,1;0,04
26,50042;1897,091;0,4602212;3,493268;0,8382019;0,07486226;40;40;1;1;0,03999999;0,9999998;0,9999997;-37,96122;0,7897765;1,7;2,1;1;0;0,1;0,04
27,00043;1886,484;0,4591487;3,455009;0,829322;0,1074327;40;40;1;1;0,03999999;0,9999997;0,9999997;-43,06378;0,7886205;1,7;2,1;1;0;0,1;0,04
27,50044;1875,953;0,4580776;3,417233;0,8205641;0,1214948;40;40;1;1;0,03999999;0,9999998;0,9999998;-44,91682;0,796818;1,7;2,1;1;0;0,1;0,04
28,00045;1865,47;0,4570051;3,379828;0,8119019;0,1243137;40;40;1;1;0,03999999;0,9999997;0,9999997;-45,94102;0,8057631;1,7;2,1;1;0;0,1;0,04
28,50046;1855,041;0,4559314;3,342804;0,8033476;0,1231449;40;40;1;1;0,03999999;0,9999997;0,9999997;-46,65143;0,8142594;1,7;2,1;1;0;0,1;0,04
29,00047;1844,662;0,4548571;3,306144;0,7949011;0,1206445;40;40;1;1;0,03999999;0,9999997;0,9999998;-47,23364;0,8222443;1,7;2,1;1;0;0,1;0,04
29,50048;1834,381;0,4537862;3,269998;0,7866161;0,1101952;40;40;1;1;0,03999999;0,9999997;0,9999997;-58,38639;0,8249065;1,7;2,1;1;0;0,1;0,04
30,0005;1824,271;0,4527269;3,234724;0,7780577;0,130431;40;40;1;1;0,03999999;0,9999997;0,9999997;-71,14232;0,8190212;1,7;2,1;1;0;0,1;0,04
30,50051;1814,312;0,4516773;3,200172;0,7695527;0,1456913;40;40;1;1;0,03999999;0,9999998;0,9999997;-75,09903;0,8264254;1,7;2,1;1;0;0,1;0,04
31,00052;1804,416;0,4506285;3,166028;0,761235;0,1399481;40;40;1;1;0,03999999;0,9999998;0,9999997;-76,88716;0,8321677;1,7;2,1;1;0;0,1;0,04
31,50053;1794,408;0,4495619;3,13184;0,752782;0,1313523;40;40;1;1;0,03999999;0,9999997;0,9999998;-67,72849;0,8152499;1,7;2,1;1;0;0,1;0,04
32,00054;1784,266;0,4484743;3,097503;0,7443933;0,1388975;40;40;1;1;0,03999999;0,9999998;0,9999997;-66,35023;0,8210059;1,7;2,1;1;0;0,1;0,04
32,50055;1774,149;0,4473829;3,063451;0,7362226;0,1382589;40;40;1;1;0,03999999;0,9999997;0,9999997;-69,97762;0,8125698;1,7;2,7;1;0;0,1;0,04
33,00056;1763,349;0,4462111;3,027374;0,7278653;0,1372964;40;40;1;1;0,03999999;0,9999997;0,9999998;-68,07872;0,8005827;1,7;2,7;1;0;0,1;0,04
33,50058;1752,386;0,4450137;2,991;0,7195317;0,1472011;40;40;1;1;0,03999999;0,9999998;0,9999997;-67,46696;0,7994711;1,7;2,7;1;0;0,1;0,04
34,00059;1741,399;0,4438056;2,95484;0,7114019;0,144121;40;40;1;1;0,03999999;0,9999997;0,9999998;-62,10453;0,7998685;1,7;2,7;1;0;0,1;0,04
34,5006;1730,426;0,4425915;2,918963;0,7033928;0,1528165;40;40;1;1;0,03999999;0,9999997;0,9999997;-64,59484;0,7971787;1,7;2,7;1;0;0,1;0,04
35,00061;1719,613;0,4413871;2,883717;0,6954594;0,1399658;40;40;1;1;0,03999999;0,9999997;0,9999998;-61,54321;0,796684;1,7;2,7;1;0;0,1;0,04
35,50062;1709,037;0,4402016;2,849383;0,6876351;0,1124625;40;40;1;1;0,03999999;0,9999997;0,9999998;-53,68887;0,7949707;1,7;2,7;1;0;0,1;0,04
36,00063;1698,531;0,4390168;2,815439;0,6797159;0,1051519;40;40;1;1;0,03999999;0,9999997;0,9999997;-32,73236;0,7957457;1,7;2,7;1;0;0,1;0,04
36,50064;1688,126;0,437835;2,78204;0,6726664;0,09640309;40;40;1;1;0,03999999;0,9999997;0,9999997;-44,01728;0,7969728;1,7;2,7;1;0;0,1;0,04
37,00066;1677,834;0,4366595;2,749266;0,6662636;0,09670275;40;40;1;1;0,03999999;0,9999997;0,9999997;-46,00769;0,8041185;1,7;2,7;1;0;0,1;0,04
37,50067;1667,654;0,4354891;2,717049;0,660758;0,1074101;40;40;1;1;0,03999999;0,9999997;0,9999997;-45,90572;0,8158122;1,7;2,7;1;0;0,1;0,04
38,00068;1657,586;0,4343246;2,685371;0,6553831;0,1251605;40;40;1;1;0,03999999;0,9999998;0,9999997;-57,29512;0,8126765;1,7;2,7;1;0;0,1;0,04
38,50069;1647,569;0,4331586;2,654075;0,6501175;0,1452691;40;40;1;1;0,03999999;0,9999997;0,9999998;-46,7591;0,8149006;1,7;2,7;1;0;0,1;0,04
39,0007;1637,434;0,4319714;2,622681;0,6449805;0,1495806;40;40;1;1;0,03999999;0,9999997;0,9999998;-39,01867;0,807257;1,7;2,7;1;0;0,1;0,04
