Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
0,5000001;1946,534;0,465138;3,709399;0,9074142;595,9023;40;40;1;1;0,03982693;0,9956732;0,9956732;31,72421;0,5370124;1;1;1;9,4;0,1;0,04
0,9999996;1950,513;0,4655278;3,723087;0,9123362;0,1658448;40;40;1;1;0,03673939;0,9184847;0,9184847;165,4835;0,4876181;1;1;1;9,4;0,1;0,04
1,499999;1952,802;0,4657517;3,730806;0,9128395;0,03088387;40;40;1;1;0,03925175;0,9812938;0,9812937;-66,46722;0,5561113;1;1;1;9,4;0,1;0,04
1,999999;1956,675;0,4661297;3,745122;0,9152607;0,1352504;40;40;1;1;0,03708204;0,9270509;0,927051;-163,9613;0,4092102;1;1;1;9,4;0,1;0,04
2,499998;1958,089;0,4662676;3,749415;0,9142346;0,1241641;40;40;1;1;0,0351481;0,8787025;0,8787027;-64,19024;0,5095194;1;1;1;9,4;0,1;0,04
2,999998;1959,964;0,4664502;3,756231;0,9189657;0,03799716;40;40;1;1;0,03669542;0,9173855;0,9173855;67,01875;0,5223477;1;1;1;9,4;0,1;0,04
3,499997;1961,495;0,4665991;3,761116;0,9238554;0,03366752;40;40;1;1;0,03519594;0,8798986;0,8798985;65,91247;0,5189151;1;1;1;9,4;0,1;0,04
3,999997;1964,898;0,46693;3,773439;0,9286112;0,1722274;40;40;1;1;0,0367927;0,9198174;0,9198174;-13,13978;0,4822862;1;1;1;9,4;0,1;0,04
4,499997;1968,501;0,4672796;3,786222;0,932523;0,05195278;40;40;1;1;0,0365564;0,91391;0,91391;114,1565;0,4442779;1;1;1;9,4;0,1;0,04
4,999996;1970,02;0,4674265;3,791516;0,9351661;0,03568825;40;40;1;1;0,03579893;0,8949733;0,8949735;-55,55854;0,4724534;1;1;1;9,4;0,1;0,04
5,499996;1972,331;0,4676504;3,800473;0,9394549;0,317825;40;40;1;1;0,0356266;0,8906649;0,8906649;-22,61758;0,4236577;1;1;1;9,4;0,1;0,04
5,999995;1975,067;0,4679149;3,811259;0,9446653;0,02623544;40;40;1;1;0,03663947;0,9159867;0,9159865;29,40711;0,46925;1;1;1;9,4;0,1;0,04
6,499995;1976,516;0,4680546;3,816495;0,9475386;0,1150335;40;40;1;1;0,03666499;0,9166247;0,9166247;-132,8368;0,4792652;1;1;1;9,4;0,1;0,04
6,999994;1979,771;0,4683684;3,828385;0,9533888;0,1886049;40;40;1;1;0,03740779;0,9351948;0,9351948;-152,094;0,4612995;1;1;1;9,4;0,1;0,04
7,499994;1983,045;0,4686835;3,84031;0,9541882;0,05573429;40;40;1;1;0,03626461;0,9066151;0,9066151;-165,9954;0,4544568;1;1;1;9,4;0,1;0,04
7,999993;1984,121;0,468787;3,844265;0,9559961;0,1493723;40;40;1;1;0,03602127;0,9005319;0,9005319;-93,89716;0,5511794;1;1;1;9,4;0,1;0,04
8,500005;1987,072;0,4690705;3,855399;0,9572976;0,1355084;40;40;1;1;0,0349583;0,8739575;0,8739574;-24,78179;0,5115904;1;1;1;9,4;0,1;0,04
9,000016;1989,499;0,469303;3,864365;0,9622308;0,1109385;40;40;1;1;0,03430255;0,8575637;0,8575635;-9,567679;0,4589413;1;1;1;9,4;0,1;0,04
9,500028;1992,601;0,4696001;3,875476;0,9628634;0,04453075;40;40;1;1;0,03587037;0,8967592;0,896759;7,082399;0,4961345;1;1;1;9,4;0,1;0,04
10,00004;1993,737;0,4697086;3,879787;0,9646115;0,1333074;40;40;1;1;0,03485787;0,8714467;0,8714467;150,6362;0,4888693;1;1;1;9,4;0,1;0,04
10,50005;1995,706;0,4698966;3,887648;0,9726682;0,3088927;40;40;1;1;0,0361641;0,9041026;0,9041026;131,4339;0,4836392;1;1;1;9,4;0,1;0,04
11,00006;1996,119;0,4699361;3,88909;0,9735112;0,09486364;40;40;1;1;0,03571513;0,8928782;0,8928782;54,51811;0,4449443;1;1;1;9,4;0,1;0,04
