Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageNeighborhood;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Move forward intensity;Friction intensity;Max speed intensity
0,5000001;2057,329;0,4756847;4,126724;0,8963562;120,7622;5;15;0,375;7;3,3;0,08766883;0,8766883;1;171,8969;0,05209941;1;1;1;0;0;1;0,1
0,9999996;2047,587;0,4747821;4,092387;0,887027;0,1374127;5;22;0,55;7;3,375;0,08598064;0,8598064;0,9269213;166,5693;0,2294146;1;1;1;0;0;1;0,1
1,499999;2040,37;0,474111;4,068547;0,8778316;0,4280819;5;21;0,525;8;3,7;0,08999997;0,8999997;1;167,7171;0,4100848;1;1;1;0;0;1;0,1
1,999999;2031,878;0,4733175;4,041858;0,8767443;0,3769186;5;21;0,525;8;3,9;0,08990404;0,8990404;0,9981729;165,2318;0,3051065;1;1;1;0;0;1;0,1
2,499998;2027,247;0,4728833;4,030053;0,8764766;0,3384348;5;21;0,525;8;3,825;0,08977297;0,8977297;0,9956763;137,4315;0,334387;1;1;1;0;0;1;0,1
2,999998;2020,717;0,4722688;4,011995;0,8757176;0,3846314;5;21;0,525;8;4;0,08999997;0,8999997;1;108,263;0,36559;1;1;1;0;0;1;0,1
3,499997;2014,412;0,4716738;3,997421;0,8749533;0,3808216;5;22;0,55;7;4,25;0,08999997;0,8999997;1;93,31097;0,3028918;1;1;1;0;0;1;0,1
3,999997;2004,868;0,4707692;3,972284;0,867366;0,3565096;5;21;0,525;8;4,35;0,08999997;0,8999997;1;88,18769;0,3351552;1;1;1;0;0;1;0,1
4,499997;1996,055;0,4699302;3,95104;0,862277;0,3933368;5;20;0,5;8;4,475;0,08999997;0,8999997;1;77,55274;0,3523984;1;1;1;0;0;1;0,1
4,999996;1985,593;0,4689282;3,923638;0,8531332;0,4287989;5;22;0,55;7;5,275;0,08999997;0,8999997;1;86,41254;0,4078657;1;1;1;0;0;1;0,1
5,499996;1970,941;0,4675158;3,882033;0,8461814;0,319387;8;24;0,6;5;6,35;0,09749996;0,9749996;0,9999999;102,1147;0,2585244;1;1;1;0;0;1;0,1
5,999995;1954,706;0,4659377;3,835497;0,8393999;0,2465819;8;24;0,6;5;6,675;0,09749996;0,9749996;0,9999999;99,18404;0,156281;1;1;1;0;0;1;0,1
6,499995;1938,891;0,4643865;3,79227;0,8322287;0,1329749;8;24;0,6;5;7,1;0,09749996;0,9749996;0,9999999;101,2527;0,1097138;1;1;1;0;0;1;0,1
6,999994;1922,799;0,4627945;3,750095;0,8238472;0,1218776;8;24;0,6;5;7,6;0,09749996;0,9749996;0,9999999;89,03725;0,1565491;1;1;1;0;0;1;0,1
7,499994;1907,77;0,4612946;3,714677;0,8174953;0,1713899;10;24;0,6;4;7,825;0,09749996;0,9749996;0,9999999;98,67449;0,1500788;1;1;1;0;0;1;0,1
7,999993;1895,179;0,4600282;3,691179;0,8106536;0,1090666;10;24;0,6;4;8,275;0,09749996;0,9749996;0,9999999;68,31853;0,0270838;1;1;1;0;0;1;0,1
8,500005;1883,042;0,4587996;3,671686;0,8054144;0,00676063;10;24;0,6;4;8,95;0,09749996;0,9749996;0,9999999;-83,58465;0,018367;1;1;1;0;0;1;0,1
9,000016;1869,555;0,4574237;3,64858;0,7990271;0,02970186;8;22;0,55;5;9,35;0,09749996;0,9749996;1;-19,59773;0,04166275;1;1;1;0;0;1;0,1
9,500028;1856,504;0,4560825;3,629061;0,7931951;0,05344168;10;24;0,6;4;10,275;0,09749996;0,9749996;0,9999999;6,357415;0,06192473;1;1;1;0;0;1;0,1
10,00004;1847,28;0,4551283;3,626764;0,789865;0,05536157;10;24;0,6;4;10,575;0,09749996;0,9749996;0,9999999;-61,50216;0,08480875;1;1;1;0;0;1;0,1
10,50005;1838,114;0,4541754;3,624579;0,7832555;0,1252063;8;22;0,55;5;11,05;0,09749996;0,9749996;1;-51,29781;0,1293346;1;1;1;0;0;1;0,1
