Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageNeighborhood;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Move forward intensity;Friction intensity;Max speed intensity
0,5000001;7981,511;0,7016283;62,48925;0,8556345;7142,215;1;3;0,075;35;0,25;0,01770811;0,1770811;0,9083694;18,26167;0,1578853;1;1;1;0;0;0,1;0,1
0,9999996;7982,614;0,701647;62,50208;0,8556345;0,05565275;1;3;0,075;35;0,25;0,02655229;0,08483159;0,4252363;81,91158;0,1743035;1;1;1;0;0;0,1;0,313
1,499999;7984,153;0,7016733;62,52034;0,8556345;0,08488697;1;3;0,075;37;0,15;0,03598651;0,07211725;0,379803;99,08555;0,1926395;1;1;1;0;0;0,1;0,499
1,999999;7986,086;0,7017061;62,54438;0,8556345;0,1794995;1;1;0,025;40;0;0,03751642;0,0751832;0;107,4045;0,2048008;1;1;1;0;0;0,1;0,499
2,499998;7988,123;0,7017408;62,57036;0,8556345;0,2283701;1;1;0,025;40;0;0,03568692;0,07151686;0;107,4045;0,2048007;1;1;1;0;0;0,1;0,499
2,999998;7990,105;0,7017745;62,59595;0,8556345;0,2285816;1;1;0,025;40;0;0,03394763;0,06803132;0;107,4045;0,2048007;1;1;1;0;0;0,1;0,499
3,499997;7992,027;0,7018073;62,6212;0,8556345;0,2284746;1;1;0,025;40;0;0,03228966;0,06470874;0;107,4045;0,2048007;1;1;1;0;0;0,1;0,499
3,999997;7993,895;0,7018389;62,6459;0,8556345;0,2283025;1;1;0,025;40;0;0,03071645;0,061556;0;107,4045;0,2048007;1;1;1;0;0;0,1;0,499
4,499997;7995,703;0,7018697;62,67015;0,8556345;0,2284964;1;1;0,025;40;0;0,02921725;0,05855159;0;107,4045;0,2048007;1;1;1;0;0;0,1;0,499
4,999996;7997,451;0,7018993;62,69378;0,8556345;0,2284272;1;1;0,025;40;0;0,02779316;0,05569772;0;107,4045;0,2048007;1;1;1;0;0;0,1;0,499
5,499996;7999,143;0,701928;62,71684;0,8556345;0,2284828;1;1;0,025;40;0;0,02644677;0,05299954;0;107,4831;0,2067966;1;1;1;0,05;0;0,1;0,499
5,999995;8000,694;0,7019544;62,7382;0,8555883;0,2208698;1;1;0,025;40;0;0,02712244;0,05435359;0,001019056;111,9564;0,2401827;1;1;1;0,23;0;0,1;0,499
6,499995;8002,068;0,7019777;62,75712;0,8555276;0,214225;1;1;0,025;40;0;0,02624806;0,05260133;0,006349149;109,197;0,279204;1;1;1;0,23;0;0,1;0,499
6,999994;8003,229;0,7019973;62,77292;0,8554537;0,2140412;1;1;0,025;40;0;0,02528448;0,05067031;0,008499355;101,2511;0,2670731;1;1;1;0,23;0;0,1;0,499
7,499994;8004,389;0,7020168;62,78841;0,8553751;0,2171196;1;1;0,025;40;0;0,02488651;0,04987277;0,01496734;93,12253;0,260968;1;1;1;0,23;0;0,1;0,499
7,999993;8005,679;0,7020388;62,80551;0,8577148;0,1583357;1;2;0,05;39;0,025;0,02520549;0,050512;0,09671385;84,11028;0,3131047;1;1;1;0,23;0;0,1;0,499
8,500005;8006,626;0,7020549;62,81816;0,860022;0,1949658;1;2;0,05;39;0,025;0,02672408;0,05355527;0,1832506;104,3606;0,2653397;1;1;1;0,23;0;0,1;0,499
9,000016;8006,961;0,7020605;62,82331;0,862176;0,2893335;1;2;0,05;39;0,025;0,03236374;0,06485718;0,3191039;113,9504;0,2427291;1;1;1;0,83;0;0,1;0,499
9,500028;8006,375;0,7020507;62,81613;0,8643308;0,3388504;1;3;0,075;38;0,075;0,03650143;0,07314915;0,2860425;114,025;0,2724621;1;1;1;0,83;0;0,1;0,499
10,00004;8005,069;0,7020285;62,7986;0,8668709;0,4920887;1;2;0,05;39;0,05;0,04302005;0,08621252;0,5918933;125,2163;0,2727353;1;1;1;0,83;0;0,1;0,499
10,50005;8002,657;0,7019876;62,76703;0,8692035;0,5770906;1;2;0,05;39;0,025;0,0487417;0,09767875;0,7938365;131,2384;0,2790835;1;1;1;0,83;0;0,1;0,499
11,00006;7999,718;0,7019379;62,73024;0,8712798;0,6077346;1;3;0,075;38;0,1;0,05306137;0,1063354;0,6948903;136,2039;0,3291877;1;1;1;0,83;0;0,1;0,499
11,50007;7995,453;0,7018653;62,67689;0,8734018;0,6975279;1;4;0,1;37;0,15;0,06078947;0,1218226;0,6833453;137,178;0,3428324;1;1;1;0,83;0;0,1;0,499
12,00008;7987,478;0,7017296;62,56853;0,8709405;0,6954315;1;4;0,1;37;0,15;0,07048903;0,1412606;0,8701497;144,6809;0,2991227;1;1;1;0,83;0;0,1;0,499
12,5001;7978,801;0,701582;62,45183;0,8680734;0,721559;1;4;0,1;37;0,125;0,07295962;0,1462117;0,9214304;148,113;0,293681;1;1;1;0,83;0;0,1;0,499
13,00011;7970,43;0,7014391;62,34011;0,8653587;0,7256849;1;4;0,1;37;0,125;0,07576524;0,1518341;1;148,2745;0,2367207;1;1;1;0,83;0;0,1;0,499
13,50012;7962,328;0,7013009;62,23421;0,8630606;0,7337703;1;4;0,1;37;0,125;0,07545744;0,1512173;1;147,5225;0,2258753;1;1;1;0,83;0;0,1;0,499
14,00013;7955,096;0,7011775;62,14248;0,8611542;0,7252166;1;4;0,1;36;0,175;0,07597779;0,1522601;1;144,5269;0,2578648;1;1;1;0,83;0;0,1;0,499
14,50014;7949,108;0,7010751;62,07177;0,8596911;0,7351887;1;4;0,1;36;0,175;0,07751432;0,1553393;0,9996862;143,7137;0,2977379;1;1;1;0,83;0;0,1;0,499
15,00015;7944,729;0,7009997;62,02623;0,8589078;0,7253505;1;4;0,1;36;0,175;0,07937105;0,1590602;1;141,9751;0,2907341;1;1;1;0,83;0;0,1;0,499
15,50016;7941,601;0,7009465;61,99868;0,8583626;0,6894511;1;4;0,1;36;0,175;0,08204411;0,164417;1;141,0231;0,2848882;1;1;1;0,83;0;0,1;0,499
16,00018;7940,161;0,7009215;61,99705;0,8584648;0,652141;1;4;0,1;36;0,175;0,08566259;0,1716685;1;138,7824;0,2635831;1;1;1;0,83;0;0,1;0,499
16,50019;7940,215;0,7009225;62,01822;0,8602185;0,6406693;1;4;0,1;37;0,125;0,08363965;0,1676145;1;139,0573;0,2910175;1;1;1;0,83;0;0,1;0,499
17,0002;7941,239;0,7009403;62,05283;0,8626649;0,6535749;1;2;0,05;37;0,125;0,08361574;0,1675666;0,04960714;139,4198;0,2934489;1;1;1;0,83;0;0,1;0,499
17,50021;7942,936;0,7009694;62,09631;0,8646538;0,6479545;1;2;0,05;36;0,175;0,0857309;0,1718054;0,1347686;139,3138;0,311552;1;1;1;0,83;0;0,1;0,499
18,00022;7945,971;0,7010211;62,15744;0,8665799;0,6220515;1;2;0,05;36;0,175;0,09011165;0,1805845;0,2244092;141,6811;0,3161258;1;1;1;0,83;0;0,1;0,499
18,50023;7950,385;0,7010968;62,23783;0,868627;0,6006203;1;2;0,05;36;0,2;0,0968762;0,1941407;0,3156489;143,1472;0,3153848;1;1;1;0,83;0;0,1;0,499
19,00024;7954,807;0,7011722;62,31554;0,8689193;0,5951018;1;2;0,05;36;0,2;0,1026472;0,2057058;0,3995101;151,0965;0,3439134;1;1;1;0,83;0;0,1;0,499
19,50026;7957,496;0,7012185;62,361;0,8659804;0,581225;1;2;0,05;37;0,15;0,1057123;0,2118484;0,6724379;155,8333;0,3464554;1;1;1;0,83;0;0,1;0,499
20,00027;7961,179;0,7012813;62,41442;0,8633646;0,5433086;1;3;0,075;34;0,3;0,1166436;0,2337548;0,7576536;161,7127;0,3751598;1;1;1;0,83;0;0,1;0,499
20,50028;7967,332;0,7013865;62,49626;0,8608992;0,5344397;1;3;0,075;33;0,35;0,1302821;0,2610865;0,9635553;161,8921;0,361717;1;1;1;0,83;0;0,1;0,499
21,00029;7975,987;0,701534;62,6133;0,8584685;0,54286;1;3;0,075;33;0,35;0,1392247;0,2790074;1;161,2768;0,36869;1;1;1;0,83;0;0,1;0,499
21,5003;7986,69;0,7017164;62,7637;0,8559602;0,5231438;1;3;0,075;35;0,25;0,1436645;0,2879049;1;160,9241;0,3687226;1;1;1;0,83;0;0,1;0,499
22,00031;8000,808;0,7019561;62,96525;0,8538031;0,4733942;1;3;0,075;34;0,3;0,152379;0,3053688;0,9996633;165,8884;0,3219885;1;1;1;0,83;0;0,1;0,499
22,50032;8019,784;0,7022777;63,237;0,8564584;0,4065569;1;3;0,075;35;0,25;0,162719;0,3260901;0,9999999;177,3475;0,3310142;1;1;1;0,83;0;0,1;0,499
23,00034;8042,174;0,7026556;63,55887;0,8608068;0,3812529;1;3;0,075;36;0,2;0,1618937;0,3244362;0,999903;-179,0515;0,3329611;1;1;1;0,83;0;0,1;0,499
23,50035;8060,732;0,702968;63,829;0,8599774;0,4148127;1;5;0,125;34;0,3;0,1636782;0,3280123;1;-166,8746;0,3504023;1;1;1;0,83;0;0,1;0,499
24,00036;8077,908;0,7032561;64,07667;0,8583387;0,4444783;1;5;0,125;34;0,3;0,1695751;0,3398299;0,9999522;-157,4995;0,2876441;1;1;1;0,83;0;0,1;0,499
24,50037;8092,402;0,7034986;64,28342;0,8565995;0,4894837;1;5;0,125;34;0,3;0,1681014;0,3368765;1;-145,5129;0,3646217;1;1;1;0,83;0;0,1;0,499
25,00038;8094,941;0,7035411;64,31821;0,8549774;0,6051527;1;5;0,125;34;0,3;0,1671773;0,3350247;1;-138,3694;0,4159822;1;1;1;0,83;0;0,1;0,499
25,50039;8095,329;0,7035475;64,32652;0,851708;0,6397429;1;5;0,125;34;0,275;0,1660272;0,3327198;1;-139,4981;0,4330811;1;1;1;0,83;0;0,1;0,499
26,0004;8096,809;0,703572;64,355;0,8490308;0,6467696;1;5;0,125;34;0,275;0,165236;0,3311343;1;-139,8918;0,4351851;1;1;1;0,83;0;0,1;0,499
