Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
0,5000001;2216,427;0,4897941;4,831738;0,9821991;462,9142;20;35;0,875;2;0,0378777;0,9469424;0,9399818;-129,9583;0,4176296;1;1;1;9,4;0,1;0,04
0,9999996;2219;0,4900132;4,841009;0,9873109;0,08506134;40;40;1;1;0,03755666;0,9389165;0,9389165;-6,983653;0,4087272;1;1;1;9,4;0,1;0,04
1,499999;2219,998;0,490098;4,843123;0,9880568;0,04306348;40;40;1;1;0,03545424;0,8863561;0,8863559;-55,77434;0,509322;1;1;1;9,4;0,1;0,04
1,999999;2222,46;0,490307;4,85192;0,9931011;0,1494921;40;40;1;1;0,0364165;0,9104125;0,9104126;66,78986;0,5064622;1;1;1;9,4;0,1;0,04
2,499998;2224,499;0,4904799;4,859278;0,9961082;0,1494488;40;40;1;1;0,03689753;0,9224383;0,9224383;-160,7633;0,4341548;1;1;1;9,4;0,1;0,04
2,999998;2225,908;0,4905995;4,863806;0,9956928;0,1322759;40;40;1;1;0,03536942;0,8842356;0,8842355;-135,8094;0,5289801;1;1;1;9,4;0,1;0,04
3,499997;2227,029;0,4906944;4,867286;0,9950151;0,1678888;40;40;1;1;0,03589149;0,8972873;0,8972874;21,43027;0,5096856;1;1;1;9,4;0,1;0,04
3,999997;2228,606;0,4908278;4,873273;0,9979545;0,1470929;40;40;1;1;0,03495407;0,8738519;0,8738518;20,59505;0,5576211;1;1;1;9,4;0,1;0,04
4,499997;2229,253;0,4908825;4,873889;0,9964802;0,1634;40;40;1;1;0,03589566;0,8973916;0,8973916;-50,55489;0,5565679;1;1;1;9,4;0,1;0,04
4,999996;2230,209;0,4909634;4,876443;0,9961067;0,1488017;40;40;1;1;0,03506982;0,8767454;0,8767454;90,62164;0,4982728;1;1;1;9,4;0,1;0,04
5,499996;2231,225;0,4910495;4,879324;0,9969735;0,1249742;40;40;1;1;0,03650056;0,9125141;0,9125141;-111,157;0,5332264;1;1;1;9,4;0,1;0,04
5,999995;2231,855;0,4911029;4,880893;0,9974151;0,1125405;40;40;1;1;0,03652538;0,9131344;0,9131344;-109,4685;0,5099819;1;1;1;6,2;0,1;0,04
6,499995;2234,417;0,4913187;4,889838;0,9989378;0,1874702;40;40;1;1;0,03801184;0,950296;0,950296;-91,479;0,5899756;1;1;1;3,7;0,1;0,04
6,999994;2234,985;0,4913667;4,890734;0,9983854;0,3728431;40;40;1;1;0,03755268;0,938817;0,938817;-143,3373;0,5709785;1;1;1;3,7;0,1;0,04
7,499994;2236,31;0,4914786;4,894784;0,9973711;0,1066591;40;40;1;1;0,03839993;0,9599984;0,9599984;-73,88727;0,5580146;1;1;1;3,7;0,1;0,04
7,999993;2238,849;0,4916924;4,903881;0,9973421;0,06723048;40;40;1;1;0,0378399;0,9459974;0,9459974;40,37055;0,5910961;1;1;1;2,7;0,1;0,04
8,500005;2241,796;0,4919405;4,914648;0,9978274;0,08561219;40;40;1;1;0,03833046;0,9582615;0,9582617;-120,1917;0,7115736;1;1;1;1;0,1;0,04
9,000016;2244,625;0,492178;4,924688;0,9983233;0,08721337;40;40;1;1;0,03927196;0,9817989;0,9817988;-90,18313;0,7230304;1;1;1;1;0,1;0,04
9,500028;2245,401;0,492243;4,927159;0,9988143;0,06550156;40;40;1;1;0,03935664;0,983916;0,9839162;-43,52343;0,6873549;1;1;1;1,5;0,1;0,04
10,00004;2248,328;0,4924885;4,935744;0,9960924;0,05098305;40;40;1;1;0,03944145;0,9860363;0,9860363;32,22399;0,7496128;1;1;1;1,5;0,1;0,04
10,50005;2252,176;0,4928106;4,950086;0,9972787;0,03073124;40;40;1;1;0,0397635;0,9940874;0,9940874;-85,57754;0,7389194;1;1;1;1,5;0,1;0,04
11,00006;2256,079;0,4931369;4,964746;0,9990398;0,103934;40;40;1;1;0,03962737;0,9906842;0,9906842;-72,59098;0,723052;1;1;1;1,5;0,1;0,04
11,50007;2259,291;0,4934047;4,976174;0,998925;0,06035145;40;40;1;1;0,03936683;0,9841707;0,9841707;3,926679;0,7736325;1;1;1;1,2;0,1;0,04
12,00008;2261,258;0,4935685;4,982417;0,9968917;0,06308021;40;40;1;1;0,03931125;0,9827814;0,9827814;-143,8436;0,8107505;1;1;1;1,2;0,1;0,04
12,5001;2263,933;0,4937912;4,991935;0,9983937;0,06059171;40;40;1;1;0,03964563;0,9911409;0,9911409;19,05573;0,7890673;1;1;1;1;0,1;0,04
13,00011;2266,155;0,4939759;4,999431;0,9980623;0,07146353;40;40;1;1;0,03987635;0,9969088;0,996909;-118,1382;0,8263194;1;1;1;1;0,1;0,04
13,50012;2269,02;0,4942135;5,010202;0,9986664;0,1005292;40;40;1;1;0,03969615;0,9924037;0,9924037;-72,32951;0,802639;1;1;1;1;0,1;0,04
14,00013;2269,143;0,4942238;5,009013;0,9945459;0,02433276;40;40;1;1;0,03998258;0,9995646;0,9995646;-86,24932;0,7969316;1,6;1;1;1;0,1;0,04
14,50014;2262,377;0,4936618;4,979712;0,9841799;0,02069753;40;40;1;1;0,03996111;0,9990277;0,9990277;-139,6752;0,569758;2,8;1;1;1;0,1;0,04
15,00015;2253,938;0,4929581;4,94436;0,9730716;0,001907651;40;40;1;1;0,03999999;0,9999997;0,9999997;4,510754;0,5283316;3,7;1;1;1;0,1;0,04
15,50016;2245,226;0,4922287;4,908258;0,9616005;0,0120301;40;40;1;1;0,03999999;0,9999997;0,9999997;-45,41512;0,522;4,1;1;1;1;0,1;0,04
16,00018;2236,293;0,4914772;4,871484;0,9501442;0,02136868;40;40;1;1;0,03999999;0,9999998;0,9999997;15,01822;0,5165652;4,1;1;1;1;0,1;0,04
16,50019;2227,464;0,4907312;4,835294;0,9388616;0,06054245;40;40;1;1;0,03997561;0,9993902;0,9993902;-51,65062;0,5975946;2,6;1;1;1;0,1;0,04
17,0002;2218,818;0,4899977;4,800025;0,9281997;0,08789242;40;40;1;1;0,0398497;0,9962426;0,9962426;-44,79312;0,6292904;2,3;1;1;1;0,1;0,04
17,50021;2210,271;0,4892692;4,765005;0,9179629;0,09778263;40;40;1;1;0,03989659;0,9974146;0,9974146;-27,83351;0,7039788;1,9;1;1;1;0,1;0,04
18,00022;2202,388;0,4885947;4,732723;0,9081175;0,07783977;40;40;1;1;0,03991902;0,9979756;0,9979756;-9,811352;0,7768782;1,7;1;1;1;0,1;0,04
18,50023;2196,239;0,4880665;4,707479;0,9004218;0,0798825;40;40;1;1;0,03996385;0,9990963;0,9990963;-12,32625;0,815739;1,6;1;1;1;0,1;0,04
