Time stamp;TotalDistance;DistanceWeightDistributionQuality;MeanSquareDistanceFromCenterOfMass;BBR;Effective group motion;ExpectedClusterSize;LargestAggregateSize;LargestAggregateSizeRatio;AggregateNumber;AverageSpeed;RescaledSpeed(AverageSpeed);RescaledSpeed(LargestClusterAverageSpeed);AverageOrientation;Order;Cohesion intensity;Alignement intensity;Separation intensity;Random movement intensity;Friction intensity;Max speed intensity
0,5000001;1995,329;0,4698608;3,933846;0,9020868;1133,334;10;23;0,575;4;0,03899999;0,9749998;1;-53,04188;0,4707347;2;2;2;2;0,1;0,04
0,9999996;1999,273;0,4702368;3,947063;0,909254;0,06839028;13;36;0,9;3;0,03965519;0,9913797;0,9999998;119,3277;0,534531;2;2;2;2;0,1;0,04
1,499999;2005,844;0,4708622;3,970088;0,9190323;0,06315435;13;36;0,9;3;0,0393252;0,9831301;0,9969236;-129,1997;0,5882559;2;2;2;2;0,1;0,04
1,999999;2010,636;0,4713165;3,986737;0,927058;0,08022963;13;36;0,9;3;0,039837;0,995925;0,9956988;-113,8231;0,5898963;2;2;2;2;0,1;0,04
2,499998;2015,405;0,4717681;4,003217;0,935494;0,05109692;13;36;0,9;3;0,03876679;0,9691699;0,9832476;163,7511;0,6115916;2;2;2;2;0,1;0,04
2,999998;2019,302;0,4721355;4,016374;0,9416451;0,06410602;13;36;0,9;3;0,03892522;0,9731305;0,985755;127,1383;0,5924461;2;2;2;2;0,1;0,04
3,499997;2023,478;0,4725287;4,030759;0,9478664;0,07305672;13;36;0,9;3;0,03883359;0,9708398;0,9836895;154,5269;0,6101516;2;2;2;2;0,1;0,04
3,999997;2028,056;0,4729588;4,047077;0,954857;0,09682505;13;36;0,9;3;0,03975135;0,9937839;0,9935532;147,6306;0,6415241;2;2;2;2;0,1;0,04
4,499997;2032,131;0,4733412;4,061733;0,9607574;0,1258577;13;36;0,9;3;0,03976901;0,9942253;0,9942029;136,9033;0,6718365;2;2;2;2;0,1;0,04
4,999996;2036,884;0,4737855;4,079514;0,9662536;0,1755346;13;36;0,9;3;0,03897377;0,9743442;0,9779025;171,9982;0,6813539;2;2;2;2;0,1;0,04
5,499996;2041,59;0,4742245;4,097114;0,9725994;0,08606502;13;36;0,9;3;0,0393215;0,9830375;0,9854075;143,4948;0,7091343;2;2;2;2;0,1;0,04
